champion,bucket,picks,win_rate,ban_rate,ban_win_salience_residual
Jayce,mid,3130,0.470926517571885,0.0009701374067345175,0.605542425349709
Jinx,mid,16030,0.4912039925140362,0.0024870795336284905,-0.17733149318866798
Kalista,mid,8308,0.49819451131439574,0.006279434850863423,-0.4200122304684136
Karma,mid,4524,0.4964633068081344,0.0006702767537438484,-0.398778212857148
Karthus,mid,1763,0.47816222348269993,0.0006614573227735346,0.3191119282966778
Kassadin,mid,6562,0.45900640048765623,0.006447004039299384,1.118757739257561
Katarina,mid,4551,0.47440123049879146,0.004162771417988111,0.49579787932276287
Kayle,mid,4730,0.5257928118393235,0.007769918684846454,-1.4903071531240508
Kennen,mid,3226,0.46683199008059517,0.000820207080239183,0.7649256363889789
Kha'Zix,mid,4156,0.43358999037536095,0.001419928386220521,2.074022344597166
Kindred,mid,9324,0.49335049335049336,0.1666696064769901,1.1048705873261622
Kog'Maw,mid,2610,0.4486590038314176,0.004180410279928739,1.5058291694548058
LeBlanc,mid,11230,0.4607301869991095,0.02449155980456141,1.2013084557905893
Lee Sin,mid,37319,0.4723063318952812,0.0480129822023883,0.9429259473117987
Leona,mid,12594,0.5079402890265206,0.002451801809747235,-0.8342010170536855
Lissandra,mid,3717,0.4794188861985472,0.001199442611962676,0.2742896110147755
Lucian,mid,36895,0.49445724352893344,0.013925881502125483,-0.20975912747955588
Lulu,mid,9672,0.4904880066170389,0.004568465242622546,-0.1319205419744208
Lux,mid,17502,0.5266826648383042,0.008096237630748064,-1.5225008791093813
Malphite,mid,17234,0.5324358825577347,0.08703014481505653,-1.0912751647378771
Malzahar,mid,6513,0.5301704283740212,0.007126100224013546,-1.6674021158209533
Maokai,mid,2092,0.4765774378585086,0.000564443582100083,0.38047671329552646
Master Yi,mid,13962,0.5212004010886693,0.056223872435750444,-0.906885343409724
Miss Fortune,mid,27712,0.5466945727482679,0.08229411038399802,-1.690068656987242
Mordekaiser,mid,614,0.4527687296416938,0.007981585028133984,1.3762372365380626
Morgana,mid,17852,0.5007282097244006,0.01292046637150971,-0.46414083508787046
Nami,mid,8500,0.5309411764705882,0.00048506870336725876,-1.7529091219776878
Nasus,mid,9526,0.5101826579886626,0.013961159226006738,-0.8263838848364609
Nautilus,mid,10018,0.5107805949291275,0.003545411250066146,-0.9365265110395742
Nidalee,mid,6507,0.4407561088059013,0.0033778420616301834,1.8091855593902169
Nocturne,mid,4386,0.5072959416324669,0.0015786781436861693,-0.8161894252384437
Nunu,mid,2045,0.4728606356968215,0.0005291658582188278,0.5259957085421658
Olaf,mid,4232,0.4919659735349716,0.0038540913340271285,-0.19584754065719048
Orianna,mid,6161,0.4523616296055835,0.0005556241511297691,1.3304054052394692
Pantheon,mid,7099,0.5133117340470489,0.004965339636286667,-1.0240073959434257
Poppy,mid,9403,0.4717643305328087,0.06762739668036619,1.1274301778456897
Quinn,mid,8757,0.5236953294507252,0.0747358580424391,-0.8506968395615528
Rammus,mid,7516,0.5415114422565194,0.04316229516871571,-1.8124059603691243
Rek'Sai,mid,3804,0.4776550998948475,0.002107844001904997,0.35104428792204
Renekton,mid,12625,0.4914851485148515,0.016765738274566525,-0.06952714808101434
Rengar,mid,15397,0.49256348639345326,0.16597287143033532,1.1299468037144418
Riven,mid,13286,0.46725876862863164,0.03102675815356393,0.9995771562109292
Rumble,mid,2264,0.4584805653710247,0.0006085407369516519,1.0907959277201267
Ryze,mid,5871,0.4583546244251405,0.011632829449843896,1.1874864268456267
Sejuani,mid,2634,0.5167046317388003,0.0009613179757642036,-1.1904365151862517
Shaco,mid,7755,0.5188910380399742,0.010680330905050005,-1.1953240908348397
Shen,mid,10409,0.509270823325968,0.0066586703825869155,-0.8513870473861035
Shyvana,mid,4996,0.5094075260208166,0.00343957807842238,-0.8835409119165182
Singed,mid,2702,0.5151739452257587,0.0010406928544970278,-1.1297260778677896
Sion,mid,2650,0.5173584905660378,0.0007408322015063588,-1.2179228222763934
Sivir,mid,6053,0.48306624814141746,0.000388054962693807,0.12444842021741853
Skarner,mid,1477,0.5308056872037915,0.0017021501772705625,-1.7374646161637983
Sona,mid,9373,0.5347274085138163,0.0036512444217099115,-1.8750949673243569
Soraka,mid,11836,0.5173200405542413,0.6312595911311802,4.031084267274015
Swain,mid,3050,0.5150819672131147,0.0021695800186971935,-1.1167225452082834
Syndra,mid,3737,0.4704308268664704,0.0010495122854673417,0.6256492961084781
Tahm Kench,mid,10280,0.4932879377431907,0.5497945072583917,4.295885499262554
Talon,mid,6254,0.5350175887432044,0.0076552660822323745,-1.8531554183904027
Taric,mid,3899,0.5185945114131829,0.0014904838339830314,-1.260173750210147
Teemo,mid,5356,0.48861090365944737,0.0048947841885241565,-0.05556476512843467
Thresh,mid,31500,0.4740634920634921,0.006305893143774364,0.526883732344566
Tristana,mid,23198,0.4896973877058367,0.006270615419893108,-0.08673788000590638
Trundle,mid,10214,0.5386724104170746,0.04900957790203376,-1.6523648042624708
Tryndamere,mid,8185,0.5091020158827123,0.1783729913745965,0.5843295316280477
Twisted Fate,mid,11442,0.5186156266386995,0.008290265112094967,-1.204410866781769
Twitch,mid,4856,0.496499176276771,0.0008466653731501243,-0.3987173996666551
Udyr,mid,7874,0.531242062484125,0.006200059972130598,-1.717150006342534
Urgot,mid,616,0.4448051948051948,0.0015786781436861693,1.635363691660974
