champion,bucket,picks,win_rate,ban_rate,perceived_minus_actual
Fiddlesticks,high,640,0.4640625,0.0008807713702948266,0.8930714995027671
Fiora,high,4872,0.4825533661740558,0.16178379380678656,1.4417431877193003
Fizz,high,5035,0.5100297914597816,0.03233358056740219,-0.62818881642849
Galio,high,372,0.4838709677419355,0.0013211570554422399,0.13486045471308916
Gangplank,high,4522,0.5181335692171606,0.1412942703504543,-0.08676419631638976
Garen,high,977,0.5056294779938587,0.005377340997589468,-0.6700248755745797
Gnar,high,2428,0.48311367380560133,0.0014834044131281292,0.16524948209060802
Gragas,high,1494,0.44377510040160645,0.0009503059521602077,1.6736900637356233
Graves,high,4154,0.5137217140105922,0.07544502132393843,-0.43263951533315953
Hecarim,high,3234,0.5204081632653061,0.006072686816243279,-1.232838897762286
Heimerdinger,high,789,0.5044359949302915,0.0023873539773780826,-0.6475418737841961
Illaoi,high,1915,0.4114882506527415,0.18116076395327277,4.325976994058828
Irelia,high,4614,0.4989163415691374,0.10898386797700724,0.3992110707080066
Janna,high,10148,0.5488766259361451,0.009618950491377712,-2.2997217617122327
Jarvan IV,high,1868,0.47109207708779444,0.0013211570554422399,0.6262237174146907
Jax,high,4447,0.4814481673038003,0.4603652883367328,3.8217546856299176
Jayce,high,1649,0.47786537295330506,0.0013211570554422399,0.3657825847846011
Jinx,high,3888,0.4904835390946502,0.0008344149823845726,-0.1232112073473024
Kalista,high,4453,0.49809117448910845,0.006953458186538105,-0.3678293028566046
Karma,high,1838,0.5043525571273123,0.0006721676246986835,-0.657761331801518
Karthus,high,644,0.47360248447204967,0.0007417022065640646,0.5251592247515704
Kassadin,high,3212,0.4729140722291407,0.0078110513628778045,0.6069735382350125
Katarina,high,1227,0.47758761206193967,0.0023178193955127016,0.38426542035333455
Kayle,high,1939,0.518308406395049,0.00901631744854441,-1.129055891696766
Kennen,high,1517,0.4990112063282795,0.0018542555164101613,-0.44312590600206525
